minute,player_name,risk_score,rank
18,César,0.00018429068,1
18,Marcos Vinícius,3.670821e-05,2
18,Alef Manga,-1.7686545e-05,3
18,Jamerson,-4.865729e-05,4
18,Vágner Love,-4.865729e-05,5
18,Andrey,-4.865729e-05,6
18,Emerson Ramon,-4.865729e-05,7
18,Gaspar,-4.865729e-05,8
18,Pedrão,-4.865729e-05,9
18,Wanderson,-4.865729e-05,10
18,Railan,-4.865729e-05,11
18,Mateus Quaresma,-4.865729e-05,12
18,Igor Bohn,-4.865729e-05,13
18,Cléber,-4.865729e-05,14
18,Marquinhos Gabriel,-4.865729e-05,15
18,JP,-4.865729e-05,16
18,Zé Ricardo,-4.865729e-05,17
18,João Vitor,-4.865729e-05,18
18,Mário Sergio,-4.865729e-05,19
18,Eduardo Brock,-4.865729e-05,20
18,Jonathan Costa,-4.865729e-05,21
18,Thayllon Roberth,-4.865729e-05,22
